PMID            | GT    | Pred  | TP   
27801735        | 64    | 13    | 5    
27801889        | 53    | 15    | 4    
27802570        | 68    | 15    | 4    
27803787        | 79    | 16    | 4    
27806658        | 40    | 12    | 1    
27806921        | 44    | 5     | 1    
27810802        | 53    | 12    | 0    
27812530        | 55    | 5     | 0    
27813022        | 45    | 14    | 2    
27815033        | 40    | 12    | 6    
27818984        | 24    | 6     | 0    
27820159        | 64    | 8     | 6    
27820849        | 57    | 16    | 8    
27822855        | 63    | 5     | 0    
27824163        | 78    | 14    | 1    
27826436        | 76    | 19    | 1    
27828852        | 58    | 10    | 3    
27828996        | 58    | 8     | 0    
27831982        | 54    | 9     | 1    
27832159        | 44    | 11    | 3    
27832181        | 25    | 8     | 0    
27832198        | 78    | 15    | 2    
27832581        | 63    | 13    | 3    
27834716        | 13    | 4     | 2    
27834754        | 50    | 6     | 0    
27837821        | 51    | 6     | 3    
27837915        | 84    | 12    | 0    
27837917        | 87    | 8     | 0    
27838742        | 75    | 26    | 2    
27840131        | 52    | 12    | 3    
27842161        | 63    | 9     | 3    
27842329        | 60    | 11    | 1    
27845771        | 60    | 6     | 1    
27846748        | 63    | 10    | 2    
27853255        | 40    | 8     | 1    
27855073        | 33    | 5     | 2    
27856752        | 39    | 9     | 0    
27857693        | 62    | 9     | 1    
27857788        | 63    | 18    | 0    
27857970        | 21    | 5     | 2    
27858508        | 57    | 21    | 0    
27859167        | 33    | 4     | 0    
27859268        | 52    | 22    | 4    
27859998        | 42    | 8     | 0    
27861593        | 77    | 16    | 4    
27863934        | 40    | 9     | 1    
27864317        | 59    | 20    | 5    
27866504        | 84    | 7     | 0    
27866508        | 41    | 5     | 1    
27866595        | 55    | 5     | 3    
27867086        | 86    | 13    | 1    
27871510        | 58    | 11    | 1    
27872234        | 72    | 14    | 2    
27873109        | 76    | 16    | 0    
27875010        | 67    | 10    | 1    
27876084        | 104   | 12    | 0    
27876145        | 41    | 6     | 1    
27878205        | 54    | 4     | 0    
27879507        | 49    | 10    | 0    
27881529        | 57    | 11    | 3    
27882444        | 78    | 9     | 0    
27882455        | 27    | 7     | 0    
27883264        | 75    | 19    | 4    
27884439        | 60    | 8     | 0    
27886280        | 83    | 16    | 9    
27887026        | 53    | 7     | 1    
27887578        | 68    | 13    | 0    
27887587        | 41    | 7     | 1    
27888348        | 13    | 4     | 2    
27891581        | 72    | 15    | 2    
27892235        | 5     | 1     | 0    
27892522        | 54    | 12    | 2    
27894019        | 56    | 8     | 4    
27894020        | 50    | 14    | 2    
27895988        | 43    | 9     | 4    
27896576        | 48    | 9     | 2    
27898905        | 78    | 8     | 0    
27901092        | 61    | 6     | 0    
27902303        | 64    | 14    | 0    
27902690        | 65    | 8     | 0    
27903185        | 76    | 9     | 1    
27903410        | 84    | 14    | 4    
27905023        | 63    | 13    | 6    
27905324        | 64    | 19    | 3    
27905972        | 57    | 14    | 0    
27906155        | 42    | 5     | 1    
27909142        | 40    | 9     | 2    
27910818        | 112   | 11    | 0    
27913563        | 82    | 17    | 0    
27920749        | 54    | 10    | 3    
27921269        | 55    | 5     | 0    
27921401        | 73    | 16    | 2    
27923134        | 18    | 5     | 0    
27923790        | 115   | 15    | 4    
27925180        | 63    | 13    | 3    
27925484        | 55    | 8     | 0    
27925527        | 11    | 3     | 1    
27928244        | 49    | 12    | 3    
27932585        | 46    | 11    | 2    
27933285        | 86    | 15    | 1    
27933664        | 49    | 7     | 2    
27938365        | 78    | 12    | 2    
27939207        | 57    | 17    | 0    
27940576        | 66    | 14    | 6    
27941728        | 62    | 8     | 5    
27941815        | 36    | 6     | 2    
27941943        | 63    | 10    | 1    
27965426        | 55    | 8     | 2    
27975020        | 35    | 6     | 1    
27975061        | 36    | 7     | 2    
27977319        | 46    | 13    | 2    
27977439        | 79    | 10    | 2    
27977762        | 42    | 5     | 0    
27984742        | 25    | 8     | 0    
27986797        | 65    | 22    | 2    
27987927        | 79    | 9     | 3    
27990563        | 86    | 6     | 2    
27991454        | 43    | 10    | 1    
27994448        | 58    | 11    | 2    
27994535        | 63    | 8     | 1    
27994640        | 45    | 12    | 2    
27994913        | 44    | 18    | 2    
27995510        | 41    | 13    | 5    
27995969        | 55    | 10    | 4    
27999200        | 69    | 12    | 3    
28000391        | 52    | 7     | 2    
28002085        | 79    | 6     | 0    
28005193        | 85    | 11    | 4    
28009593        | 63    | 5     | 0    
28009695        | 56    | 11    | 1    
28011059        | 58    | 9     | 1    
28013205        | 64    | 7     | 3    
28013256        | 62    | 11    | 0    
28017476        | 52    | 7     | 2    
28027760        | 52    | 15    | 0    
28033191        | 33    | 4     | 3    
28034730        | 53    | 15    | 1    
28035661        | 65    | 7     | 3    
28035718        | 28    | 8     | 3    
28042065        | 81    | 14    | 3    
28042600        | 47    | 9     | 2    
28042936        | 65    | 10    | 4    
28050885        | 76    | 15    | 4    
28051263        | 47    | 11    | 5    
28054422        | 44    | 6     | 3    
28054712        | 62    | 12    | 1    
28058258        | 43    | 10    | 3    
28058834        | 62    | 12    | 1    
28059412        | 22    | 5     | 2    
28061895        | 38    | 7     | 2    
28063131        | 41    | 0     | 0    
28064539        | 49    | 6     | 1    
28066382        | 54    | 19    | 3    
28066591        | 39    | 7     | 4    
28069279        | 87    | 11    | 2    
28069303        | 31    | 11    | 0    
28071754        | 79    | 19    | 3    
28072576        | 90    | 6     | 0    
28073595        | 68    | 7     | 0    
28075235        | 58    | 11    | 4    
28075514        | 45    | 5     | 1    
28077027        | 86    | 8     | 0    
28077155        | 66    | 2     | 0    
28077286        | 94    | 22    | 0    
28081044        | 46    | 2     | 1    
28082609        | 58    | 11    | 4    
28083459        | 32    | 8     | 4    
28084061        | 78    | 11    | 1    
28085490        | 35    | 8     | 6    
28087237        | 62    | 6     | 1    
28087473        | 73    | 24    | 5    
28087491        | 58    | 20    | 16   
28093376        | 37    | 10    | 0    
28094646        | 16    | 3     | 0    
28095477        | 49    | 16    | 1    
28096993        | 17    | 4     | 1    
28099123        | 69    | 13    | 2    
28099370        | 33    | 7     | 0    
28105138        | 59    | 8     | 4    
28105595        | 57    | 8     | 3    
28106001        | 50    | 11    | 0    
28107521        | 82    | 10    | 7    
28107548        | 35    | 11    | 1    
28113841        | 50    | 9     | 0    
28117535        | 40    | 5     | 4    
28117965        | 53    | 7     | 2    
28119436        | 33    | 11    | 0    
28121744        | 23    | 12    | 2    
28122243        | 56    | 14    | 2    
28122925        | 59    | 18    | 1    
28123739        | 48    | 8     | 0    
28125612        | 90    | 10    | 3    
28125734        | 85    | 10    | 1    
28127340        | 69    | 18    | 1    
28127853        | 38    | 4     | 0    
28127863        | 48    | 19    | 1    
28128937        | 72    | 7     | 0    
28129238        | 53    | 18    | 0    
28130404        | 47    | 12    | 0    
28135040        | 80    | 12    | 3    
28143560        | 66    | 14    | 2    
28144189        | 63    | 15    | 1    
28144577        | 72    | 11    | 0    
28145492        | 99    | 16    | 1    
28145617        | 46    | 12    | 0    
28148830        | 66    | 12    | 0    
28149055        | 68    | 20    | 9    
28149591        | 33    | 6     | 1    
28150347        | 58    | 12    | 1    
28152029        | 44    | 12    | 1    
28152097        | 62    | 10    | 2    
28154341        | 66    | 6     | 1    
28157408        | 45    | 4     | 2    
28158248        | 55    | 9     | 1    
28160457        | 56    | 17    | 0    
28161861        | 49    | 14    | 1    
28161910        | 73    | 17    | 5    
28165738        | 45    | 12    | 1    
28166758        | 64    | 12    | 6    
28167866        | 43    | 5     | 0    
28167893        | 84    | 11    | 0    
28168514        | 42    | 9     | 0    
28171748        | 50    | 5     | 0    
28179911        | 93    | 21    | 8    
28179929        | 42    | 12    | 0    
28183116        | 23    | 5     | 0    
28183596        | 48    | 5     | 0    
28186384        | 35    | 5     | 1    
28186729        | 49    | 5     | 1    
28188533        | 26    | 5     | 0    
28192171        | 76    | 15    | 3    
28193256        | 52    | 5     | 2    
28195652        | 52    | 12    | 5    
28197133        | 86    | 22    | 5    
28197156        | 69    | 17    | 0    
28197965        | 51    | 8     | 1    
28203067        | 54    | 12    | 1    
28203549        | 73    | 34    | 4    
28208888        | 46    | 10    | 3    
28208923        | 87    | 17    | 4    
