PMID            | GT    | Pred  | TP   
27717775        | 66    | 12    | 4    
27722201        | 45    | 9     | 1    
27722881        | 65    | 12    | 7    
27723907        | 36    | 8     | 2    
27724977        | 85    | 24    | 2    
27727312        | 68    | 19    | 0    
27729085        | 52    | 11    | 3    
27732552        | 53    | 12    | 1    
27732647        | 77    | 8     | 0    
27732923        | 43    | 10    | 1    
27742350        | 67    | 21    | 0    
27743686        | 63    | 14    | 1    
27745564        | 63    | 11    | 0    
27750105        | 50    | 10    | 5    
27753022        | 73    | 18    | 5    
27756117        | 77    | 17    | 3    
27757318        | 51    | 14    | 6    
27759568        | 39    | 10    | 0    
27759877        | 21    | 5     | 4    
27760149        | 68    | 7     | 3    
27761213        | 60    | 12    | 3    
27762482        | 24    | 8     | 0    
27764714        | 57    | 11    | 1    
27764968        | 37    | 14    | 3    
27765873        | 54    | 12    | 1    
27766173        | 58    | 17    | 2    
27766286        | 35    | 12    | 3    
27768206        | 44    | 13    | 1    
27768380        | 64    | 9     | 4    
27771331        | 31    | 8     | 2    
27771746        | 70    | 19    | 8    
27772556        | 68    | 10    | 0    
27773614        | 78    | 13    | 3    
27778231        | 87    | 13    | 6    
27779321        | 54    | 20    | 1    
27779702        | 69    | 17    | 3    
27781034        | 43    | 10    | 8    
27782044        | 18    | 5     | 3    
27782129        | 46    | 19    | 2    
27784873        | 37    | 16    | 6    
27786249        | 44    | 18    | 6    
27786291        | 82    | 17    | 4    
27788142        | 45    | 14    | 1    
27790175        | 62    | 16    | 1    
27791169        | 63    | 17    | 0    
27791362        | 76    | 21    | 8    
27791364        | 64    | 19    | 5    
27793144        | 33    | 18    | 0    
27793568        | 29    | 3     | 2    
27794068        | 60    | 10    | 5    
27794381        | 94    | 23    | 7    
27796450        | 80    | 17    | 0    
27796510        | 69    | 17    | 0    
27796974        | 51    | 9     | 0    
27797717        | 58    | 19    | 4    
27798219        | 71    | 16    | 3    
27798906        | 43    | 6     | 1    
27799314        | 63    | 21    | 13   
27799834        | 36    | 14    | 0    
27801735        | 64    | 14    | 9    
27801889        | 53    | 18    | 4    
27802570        | 68    | 15    | 8    
27803787        | 79    | 17    | 7    
27806658        | 40    | 10    | 1    
27806921        | 44    | 9     | 0    
27810802        | 53    | 11    | 2    
27812530        | 55    | 9     | 2    
27813022        | 45    | 12    | 2    
27815033        | 40    | 15    | 6    
27818984        | 24    | 5     | 0    
27820159        | 64    | 13    | 9    
27820849        | 57    | 22    | 1    
27822855        | 63    | 9     | 0    
27824163        | 78    | 17    | 8    
27826436        | 76    | 24    | 1    
27828852        | 58    | 10    | 2    
27828996        | 58    | 10    | 4    
27831982        | 54    | 12    | 1    
27832159        | 44    | 16    | 3    
27832181        | 25    | 11    | 0    
27832198        | 78    | 18    | 4    
27832581        | 63    | 15    | 4    
27834716        | 13    | 4     | 1    
27834754        | 50    | 10    | 0    
27837821        | 51    | 7     | 2    
27837915        | 84    | 21    | 0    
27837917        | 87    | 21    | 2    
27838742        | 75    | 21    | 5    
27840131        | 52    | 16    | 3    
27842161        | 63    | 10    | 4    
27842329        | 60    | 12    | 1    
27845771        | 60    | 12    | 4    
27846748        | 63    | 18    | 2    
27853255        | 40    | 8     | 1    
27855073        | 33    | 5     | 1    
27856752        | 39    | 5     | 1    
27857693        | 62    | 11    | 1    
27857788        | 63    | 21    | 1    
27857970        | 21    | 6     | 2    
27858508        | 57    | 20    | 1    
27859167        | 33    | 4     | 0    
27859268        | 52    | 11    | 7    
27859998        | 42    | 15    | 0    
27861593        | 77    | 25    | 3    
27863934        | 40    | 12    | 2    
27864317        | 59    | 24    | 5    
27866504        | 84    | 8     | 1    
27866508        | 41    | 4     | 1    
27866595        | 55    | 5     | 1    
27867086        | 86    | 16    | 6    
27871510        | 58    | 14    | 5    
27872234        | 72    | 16    | 7    
27873109        | 76    | 25    | 0    
27875010        | 67    | 25    | 2    
27876084        | 104   | 14    | 1    
27876145        | 41    | 8     | 2    
27878205        | 54    | 6     | 1    
27879507        | 49    | 10    | 1    
27881529        | 57    | 17    | 3    
27882444        | 78    | 22    | 1    
27882455        | 27    | 12    | 0    
27883264        | 75    | 17    | 6    
27884439        | 60    | 20    | 1    
27886280        | 83    | 19    | 3    
27887026        | 53    | 11    | 2    
27887578        | 68    | 19    | 0    
27887587        | 41    | 9     | 0    
27888348        | 13    | 9     | 2    
27891581        | 72    | 22    | 6    
27892235        | 5     | 1     | 0    
27892522        | 54    | 14    | 7    
27894019        | 56    | 8     | 6    
27894020        | 50    | 8     | 2    
27895988        | 43    | 10    | 4    
27896576        | 48    | 14    | 3    
27898905        | 78    | 13    | 0    
27901092        | 61    | 8     | 1    
27902303        | 64    | 12    | 2    
27902690        | 65    | 12    | 5    
27903185        | 76    | 16    | 1    
27903410        | 84    | 20    | 3    
27905023        | 63    | 24    | 9    
27905324        | 64    | 20    | 9    
27905972        | 57    | 12    | 0    
27906155        | 42    | 9     | 5    
27909142        | 40    | 18    | 1    
27910818        | 112   | 45    | 5    
27913563        | 82    | 44    | 1    
27920749        | 54    | 9     | 3    
27921269        | 55    | 5     | 0    
27921401        | 73    | 19    | 2    
27923134        | 18    | 4     | 1    
27923790        | 115   | 20    | 6    
27925180        | 63    | 13    | 1    
27925484        | 55    | 8     | 0    
27925527        | 11    | 4     | 0    
27928244        | 49    | 14    | 4    
27932585        | 46    | 15    | 5    
27933285        | 86    | 20    | 6    
27933664        | 49    | 17    | 4    
27938365        | 78    | 15    | 2    
27939207        | 57    | 19    | 2    
27940576        | 66    | 13    | 8    
27941728        | 62    | 9     | 5    
27941815        | 36    | 6     | 1    
27941943        | 63    | 13    | 3    
27965426        | 55    | 19    | 4    
27975020        | 35    | 7     | 2    
27975061        | 36    | 13    | 3    
27977319        | 46    | 12    | 3    
27977439        | 79    | 24    | 4    
27977762        | 42    | 9     | 1    
27984742        | 25    | 5     | 0    
27986797        | 65    | 17    | 4    
27987927        | 79    | 9     | 5    
27990563        | 86    | 8     | 2    
27991454        | 43    | 12    | 3    
27994448        | 58    | 14    | 3    
27994535        | 63    | 12    | 1    
27994640        | 45    | 11    | 5    
27994913        | 44    | 15    | 4    
27995510        | 41    | 16    | 4    
27995969        | 55    | 15    | 8    
27999200        | 69    | 18    | 9    
28000391        | 52    | 15    | 1    
28002085        | 79    | 13    | 1    
28005193        | 85    | 20    | 3    
28009593        | 63    | 9     | 0    
28009695        | 56    | 9     | 2    
28011059        | 58    | 10    | 1    
28013205        | 64    | 14    | 4    
28013256        | 62    | 14    | 0    
28017476        | 52    | 16    | 6    
28027760        | 52    | 17    | 3    
28033191        | 33    | 4     | 2    
28034730        | 53    | 0     | 0    
28035661        | 65    | 13    | 5    
28035718        | 28    | 10    | 3    
28042065        | 81    | 16    | 4    
28042600        | 47    | 11    | 3    
28042936        | 65    | 9     | 3    
28050885        | 76    | 28    | 4    
28051263        | 47    | 19    | 5    
28054422        | 44    | 9     | 3    
28054712        | 62    | 18    | 4    
28058258        | 43    | 20    | 4    
28058834        | 62    | 13    | 4    
28059412        | 22    | 7     | 2    
28061895        | 38    | 14    | 2    
28063131        | 41    | 0     | 0    
28064539        | 49    | 7     | 2    
28066382        | 54    | 20    | 2    
28066591        | 39    | 15    | 2    
28069279        | 87    | 11    | 3    
28069303        | 31    | 14    | 0    
28071754        | 79    | 21    | 6    
28072576        | 90    | 15    | 4    
28073595        | 68    | 15    | 2    
28075235        | 58    | 14    | 3    
28075514        | 45    | 6     | 1    
28077027        | 86    | 17    | 0    
28077155        | 66    | 25    | 1    
28077286        | 94    | 22    | 0    
28081044        | 46    | 10    | 0    
28082609        | 58    | 15    | 4    
28083459        | 32    | 10    | 5    
28084061        | 78    | 19    | 1    
28085490        | 35    | 9     | 7    
28087237        | 62    | 16    | 2    
28087473        | 73    | 19    | 2    
28087491        | 58    | 20    | 17   
28093376        | 37    | 11    | 1    
28094646        | 16    | 3     | 0    
28095477        | 49    | 15    | 4    
28096993        | 17    | 5     | 1    
28099123        | 69    | 15    | 2    
28099370        | 33    | 6     | 0    
28105138        | 59    | 12    | 2    
28105595        | 57    | 20    | 0    
28106001        | 50    | 17    | 2    
28107521        | 82    | 12    | 8    
28107548        | 35    | 10    | 1    
28113841        | 50    | 7     | 1    
28117535        | 40    | 11    | 4    
28117965        | 53    | 8     | 4    
28119436        | 33    | 19    | 6    
28121744        | 23    | 12    | 7    
28122243        | 56    | 12    | 4    
28122925        | 59    | 12    | 0    
